Characterized BldgSF,Material type,Total Pounds/Day,LBS/DAY/SF,NZPBldgType, BldgType Installation Total SF , BldgTypeLb/DaySF 
"13,618",Newspaper,0.230523,0.0000169,DFAC,"27,263",0.461502505
"40,639",Newspaper,0.691568,0.000017,Training Barracks,"207,188",3.525791197
"57,810",Newspaper,0,0,UEPH,"57,810",0
"42,600",Newspaper,0,0,Training Barracks,"207,188",0
"13,618",Non-recyclable MSW,31.272653,0.0022964,DFAC,"27,263",62.60730947
"40,639",Non-recyclable MSW,4.281752,0.0001054,Training Barracks,"207,188",21.82946424
"8,060",Non-recyclable MSW,0.8625,0.000107,PFF,"8,060",0.8625
"41,540",Non-recyclable MSW,0.635253,0.0000153,Training Barracks,"207,188",3.168435478
"13,618",Non-recyclable MSW,4.182182,0.0003071,DFAC,"27,263",8.372655523
"40,639",Non-recyclable MSW,12.546545,0.0003087,Training Barracks,"207,188",63.96549274
"57,810",Non-recyclable MSW,31.335675,0.000542,UEPH,"57,810",31.33567452
"42,600",Non-recyclable MSW,5.752688,0.000135,Training Barracks,"207,188",27.97859054
"13,618",Paperboard,0,0,DFAC,"27,263",0
"40,639",Paperboard,1.376277,0.0000339,Training Barracks,"207,188",7.016613504
"8,060",Paperboard,0.46,0.0000571,PFF,"8,060",0.46
"41,540",Paperboard,0.317627,0.0000076,Training Barracks,"207,188",1.584217739
"13,618",Paperboard,1.024545,0.0000752,DFAC,"27,263",2.051122245
"40,639",Paperboard,3.073636,0.0000756,Training Barracks,"207,188",15.6701831
"57,810",Paperboard,10.445225,0.0001807,UEPH,"57,810",10.44522484
"42,600",Paperboard,0.733333,0.0000172,Training Barracks,"207,188",3.566616588
"13,618",Soiled Paper,39.899592,0.0029299,DFAC,"27,263",79.8782914
"40,639",Soiled Paper,2.599635,0.000064,Training Barracks,"207,188",13.25360329
"8,060",Soiled Paper,0.92,0.0001141,PFF,"8,060",0.92
"41,540",Soiled Paper,1.075044,0.0000259,Training Barracks,"207,188",5.361967733
"13,618",Soiled Paper,1.306295,0.0000959,DFAC,"27,263",2.615180862
"40,639",Soiled Paper,3.918886,0.0000964,Training Barracks,"207,188",19.97948345
"57,810",Soiled Paper,12.874347,0.0002227,UEPH,"57,810",12.8743469
"42,600",Soiled Paper,3.832258,0.00009,Training Barracks,"207,188",18.63844798
"13,618",Steel / Ferrous,16.17551,0.0011878,DFAC,"27,263",32.38309111
"40,639",Steel / Ferrous,0.458759,0.0000113,Training Barracks,"207,188",2.338871168
"8,060",Steel / Ferrous,0.46,0.0000571,PFF,"8,060",0.46
"41,540",Steel / Ferrous,0.195462,0.0000047,Training Barracks,"207,188",0.974903224
"13,618",Steel / Ferrous,0.486659,0.0000357,DFAC,"27,263",0.974283066
"40,639",Steel / Ferrous,1.459977,0.0000359,Training Barracks,"207,188",7.443336971
"57,810",Steel / Ferrous,2.914946,0.0000504,UEPH,"57,810",2.914946467
"42,600",Steel / Ferrous,0.236559,0.0000056,Training Barracks,"207,188",1.15052148
"13,618",White Paper,0,0,DFAC,"27,263",0
"40,639",White Paper,0.407786,0.00001,Training Barracks,"207,188",2.078996594
"8,060",White Paper,0,0,PFF,"8,060",0
"41,540",White Paper,1.783595,0.0000429,Training Barracks,"207,188",8.89599192
"13,618",White Paper,3.637136,0.0002671,DFAC,"27,263",7.281483968
"40,639",White Paper,10.911409,0.0002685,Training Barracks,"207,188",55.62915
"57,810",White Paper,1.214561,0.000021,UEPH,"57,810",1.214561028
"42,600",White Paper,0.189247,0.0000044,Training Barracks,"207,188",0.920417184
"13,618",Yard Trimmings,0,0,DFAC,"27,263",0
"40,639",Yard Trimmings,0.050973,0.0000013,Training Barracks,"207,188",0.259874574
"8,060",Yard Trimmings,0,0,PFF,"8,060",0
"41,540",Yard Trimmings,0,0,Training Barracks,"207,188",0
"13,618",Yard Trimmings,0,0,DFAC,"27,263",0
"40,639",Yard Trimmings,0,0,Training Barracks,"207,188",0
"57,810",Yard Trimmings,0,0,UEPH,"57,810",0
"42,600",Yard Trimmings,0.260215,0.0000061,Training Barracks,"207,188",1.265573628
"5,636",#1,0.133333,0.0000237,PX,"4,000",0.094629761
"5,636",#2,0.333333,0.0000591,PX,"4,000",0.236574403
"5,636",#3,0,0,PX,"4,000",0
"5,636",#4,0.333333,0.0000591,PX,"4,000",0.236574403
"5,636",#5,0,0,PX,"4,000",0
"5,636",#6,0.066667,0.0000118,PX,"4,000",0.047314881
"5,636",#7,0,0,PX,"4,000",0
"5,636",Aluminum,5.266667,0.0009345,PX,"4,000",3.737875562
"5,636",Corr. Cardboard,3.8,0.0006742,PX,"4,000",2.69694819
"5,636",Food,29.266667,0.0051928,PX,"4,000",20.77123255
"5,636",Glass,0.6,0.0001065,PX,"4,000",0.425833925
"5,636",Mixed Paper,0.133333,0.0000237,PX,"4,000",0.094629761
"5,636",Newspaper,0,0,PX,"4,000",0
"5,636",Non-recyclable MSW,1.866667,0.0003312,PX,"4,000",1.324816655
"5,636",Paperboard,0.4,0.000071,PX,"4,000",0.283889283
"5,636",Soiled Paper,1.066667,0.0001893,PX,"4,000",0.757038088
"5,636",Steel / Ferrous,0,0,PX,"4,000",0
"5,636",White Paper,0.066667,0.0000118,PX,"4,000",0.047314881
"5,636",Yard Trimmings,0,0,PX,"4,000",0
"15,835",#1,2.47,0.000156,CDC,725754,113.3089187
"50,112",#1,0.92,0.000018,PFF,213529,3.928573974
"57,108",#1,6.89,0.000121,UEPH,2421850,292.0818362
"29,624",#1,11.53,0.000389,Training Barracks,192635,74.96413192
"110,953",#1,4.32,0.000039,PX,256091,9.959698665
"6,679",#1,0.6,0.00009,Office-Small,1031820,92.96574788
"20,326",#1,6.2,0.000305,DFAC,123698,37.70575209
"49,600",#1,2.39,0.000048,GIB,599460,28.91048532
"60,684",#1,2.56,0.000042,Office-Small,1031820,43.52502912
"15,835",#2,6.72,0.000425,CDC,725754,308.206359
"50,112",#2,0.34,0.000007,PFF,213529,1.447369359
"57,108",#2,10.33,0.000181,UEPH,2421850,438.1227544
"29,624",#2,4.29,0.000145,Training Barracks,192635,27.92781385
"110,953",#2,4.93,0.000044,PX,256091,11.38251276
"6,679",#2,0.96,0.000144,Office-Small,1031820,148.7451966
"20,326",#2,17.65,0.000868,DFAC,123698,107.4175496
"49,600",#2,1.03,0.000021,GIB,599460,12.39020799
"60,684",#2,0.91,0.000015,Office-Small,1031820,15.54465326
"15,835",#3,1.06,0.000067,CDC,725754,48.56096517
"50,112",#3,0.15,0.000003,PFF,213529,0.620301154
"57,108",#3,0,0,UEPH,2421850,0
"29,624",#3,0,0,Training Barracks,192635,0
"110,953",#3,0,0,PX,256091,0
"6,679",#3,0,0,Office-Small,1031820,0
"20,326",#3,0,0,DFAC,123698,0
"49,600",#3,0.21,0.000004,GIB,599460,2.478041599
"60,684",#3,0,0,Office-Small,1031820,0
"15,835",#4,2.47,0.000156,CDC,725754,113.3089187
"50,112",#4,0.63,0.000013,PFF,213529,2.687971666
"57,108",#4,5.56,0.000097,UEPH,2421850,235.9122524
"29,624",#4,25.77,0.00087,Training Barracks,192635,167.5668831
"110,953",#4,8.01,0.000072,PX,256091,18.49658323
"6,679",#4,0.48,0.000072,Office-Small,1031820,74.3725983
"20,326",#4,19.23,0.000946,DFAC,123698,117.0369857
"49,600",#4,0.62,0.000012,GIB,599460,7.434124797
"60,684",#4,1.77,0.000029,Office-Small,1031820,30.05299629
"15,835",#5,1.83,0.000116,CDC,725754,83.99042663
"50,112",#5,0.29,0.000006,PFF,213529,1.240602307
"57,108",#5,8.48,0.000148,UEPH,2421850,359.4853369
"29,624",#5,2.71,0.000092,Training Barracks,192635,17.63861928
"110,953",#5,12.33,0.000111,PX,256091,28.4562819
"6,679",#5,0,0,Office-Small,1031820,0
"20,326",#5,9.37,0.000461,DFAC,123698,56.99706711
"49,600",#5,0.41,0.000008,GIB,599460,4.956083198
"60,684",#5,0.43,0.000007,Office-Small,1031820,7.254171519
"15,835",#6,1.48,0.000093,CDC,725754,67.80343824
"50,112",#6,0.34,0.000007,PFF,213529,1.466223497
"57,108",#6,4.24,0.000074,UEPH,2421850,179.7426685
"29,624",#6,3.84,0.00013,Training Barracks,192635,24.98804397
"110,953",#6,11.71,0.000106,PX,256091,27.0334678
"6,679",#6,0.36,0.000054,Office-Small,1031820,55.77944873
"20,326",#6,35.73,0.001758,DFAC,123698,217.465733
"49,600",#6,1.03,0.000021,GIB,599460,12.39020799
"60,684",#6,0.37,0.000006,Office-Small,1031820,6.217861302
"15,835",#7,1.06,0.000067,CDC,725754,48.56096517
"50,112",#7,0.19,0.000004,PFF,213529,0.827068205
"57,108",#7,7.19,0.000126,UEPH,2421850,304.8147189
"29,624",#7,3.39,0.000114,Training Barracks,192635,22.04827409
"110,953",#7,1.85,0.000017,PX,256091,4.268442285
"6,679",#7,0.36,0.000054,Office-Small,1031820,55.77944873
"20,326",#7,2.51,0.000123,DFAC,123698,15.26670025
"49,600",#7,0.27,0.000006,GIB,599460,3.304055465
"60,684",#7,1.89,0.000031,Office-Small,1031820,32.12561673
"15,835",Aluminum,1.77,0.000112,CDC,725754,80.93494195
"50,112",Aluminum,0.24,0.000005,PFF,213529,1.033835256
"57,108",Aluminum,5.56,0.000097,UEPH,2421850,235.9122524
"29,624",Aluminum,3.62,0.000122,Training Barracks,192635,23.51815903
"110,953",Aluminum,1.85,0.000017,PX,256091,4.268442285
"6,679",Aluminum,0.48,0.000072,Office-Small,1031820,74.3725983
